param_n_neighbors,param_weights,param_p,mean_test_score,rank_test_score
336,distance,1,0.75125,621
333,uniform,2,0.75125,621
336,uniform,1,0.75125,621
413,uniform,2,0.75125,621
335,uniform,2,0.75125,621
335,distance,1,0.75125,621
335,uniform,1,0.75125,621
334,distance,2,0.75125,621
334,uniform,2,0.75125,621
334,distance,1,0.75125,621
334,uniform,1,0.75125,621
335,distance,2,0.75125,621
371,uniform,1,0.75125,621
349,distance,1,0.75125,621
349,distance,2,0.75125,621
365,uniform,1,0.75125,621
364,distance,2,0.75125,621
364,uniform,2,0.75125,621
364,distance,1,0.75125,621
364,uniform,1,0.75125,621
363,distance,2,0.75125,621
363,uniform,2,0.75125,621
363,distance,1,0.75125,621
363,uniform,1,0.75125,621
362,distance,2,0.75125,621
362,uniform,2,0.75125,621
